"UCC","AMOUNT","NEWID","PUB_FLAG","AMOUNT_"
"950010",4400,400682,"1",
"950022",5302,400682,"1","T"
"980000",195500,400682,"1",
"980010",2,400682,"1",
"980020",57,400682,"1",
"980030",2,400682,"1",
"980040",2,400682,"1",
"980070",99721,400682,"1","T"
"980090",100,400682,"1",
"980210",100,400682,"1",
"980230",100,400682,"1",
"980280",100,400682,"1",
"980310",100,400682,"1",
"980330",100,400682,"1",
"980010",2,400691,"1",
"980020",34,400691,"1",
"980030",2,400691,"1",
"980040",1,400691,"1",
"980090",100,400691,"1",
"980210",100,400691,"1",
"980230",100,400691,"1",
"980280",100,400691,"1",
"980310",100,400691,"1",
"980330",100,400691,"1",
"980010",2,400692,"1",
"980020",34,400692,"1",
"980030",2,400692,"1",
"980040",1,400692,"1",
"980090",100,400692,"1",
"980210",100,400692,"1",
"980230",100,400692,"1",
"980280",100,400692,"1",
"980310",100,400692,"1",
"980330",100,400692,"1",
"800931",2212,400701,"1",
"800932",450,400701,"1",
"800940",2514,400701,"1",
"900000",32865,400701,"1",
"900050",3700,400701,"1",
"900060",2285,400701,"1",
"950000",3960,400701,"1",
"950000",90,400701,"1",
"950001",-300,400701,"1",
"950022",100,400701,"1",
"980000",38850,400701,"1",
"980010",2,400701,"1",
"980020",63,400701,"1",
"980030",2,400701,"1",
"980040",2,400701,"1",
"980070",35000,400701,"1",
"980090",100,400701,"1",
"980210",100,400701,"1",
"980240",100,400701,"1",
"980280",100,400701,"1",
"980300",100,400701,"1",
"980330",100,400701,"1",
"800931",2212,400702,"1",
"800932",450,400702,"1",
"800940",2514,400702,"1",
"900000",32865,400702,"1",
"900050",3700,400702,"1",
"900060",2285,400702,"1",
"950000",3960,400702,"1",
"950000",90,400702,"1",
"950001",-300,400702,"1",
"950022",100,400702,"1",
"980000",38850,400702,"1",
"980010",2,400702,"1",
"980020",63,400702,"1",
"980030",2,400702,"1",
"980040",2,400702,"1",
"980070",35000,400702,"1",
"980090",100,400702,"1",
"980210",100,400702,"1",
"980240",100,400702,"1",
"980280",100,400702,"1",
"980300",100,400702,"1",
"980330",100,400702,"1",
"980010",1,400711,"1",
"980020",86,400711,"1","T"
"980060",1,400711,"1",
"980090",100,400711,"1",
"980220",100,400711,"1",
"980250",100,400711,"1",
"980280",100,400711,"1",
