Colony,SC_I,SC_F,TC_I,TC_F,Length_15,Length_16,L_C,Width_15,Width_16,W_C,Height_15,Height_16,H_C,Volume_15,Volume_16,EV_C,BD_15,BD_16,BD_C,Tip_2015,Tip_2016,T_C
10,B,1,2,1,5.6,3.2,-2.4,4.3,1.8,-2.5,2.4,0,-2.4,46.19,5.76,-40.43,0.87,0,-0.87,4,0,-4
1,D,4,3,3,28,29,1,16,20,4,9.6,20,10.4,3649.27,9428.7,5779.43,1.1,1.2,0.1,12,13,1
276,A,2,1,2,0.7,5.3,4.6,0.8,3.7,2.9,0,1.2,1.2,0.56,19.09,18.53,0,0.4,0.4,0,2,2
81,C,4,3,3,9,19,10,9,16.5,7.5,6.4,14,7.6,407.15,3464.29,3057.14,0.77,0.7,-0.07,15,23,8
156,D,3,3,2,22,18,-4,7,6,-1,9.5,6.7,-2.8,1568.73,757.75,-810.98,0.8,0.6,-0.2,12,10,-2
87,D,4,3,4,14,15,1,16.5,19,2.5,11.4,11.8,0.4,2082.26,2678.36,596.1,0.53,0.67,0.14,35,42,7
90,C,4,3,4,9,13.5,4.5,13,18,5,6.7,13.7,7,636.72,2669.14,2032.42,0.63,0.6,-0.03,31,55,24
91,D,4,3,3,16.5,19,2.5,10,15,5,9.4,13,3.6,1296.13,2950.74,1654.61,0.9,0.8,-0.1,20,31,11
157,C,3,3,3,19,12.4,-6.6,6,8.7,2.7,6.8,8.2,1.4,834.49,716.82,-117.67,0.87,0.73,-0.14,19,18,-1
286,C,3,2,3,9,13.5,4.5,8,7.3,-0.7,11.9,10.7,-1.2,675.27,908.95,233.68,1.07,1.07,0,8,13,5
278,A,1,1,1,1,1.3,0.3,2.7,2.3,-0.4,0,0,0,2.9,2.99,0.09,0,0,0,0,0,0
165,D,3,4,3,17.5,8.5,-9,20.5,9.9,-10.6,9.3,7.8,-1.5,2636.82,518.51,-2118.31,0.73,0.5,-0.23,59,13,-46
297,C,2,2,2,7.5,8.3,0.8,3.8,3,-0.8,4.8,1.7,-3.1,120.34,42.62,-77.72,0.8,0.93,0.13,2,3,1
172,D,4,4,4,17,14,-3,15.5,19.5,4,11.1,12,0.9,2302.8,2644.24,341.44,1,0.8,-0.2,49,47,-2
175,C,3,3,2,12,14,2,11,8.5,-2.5,6.5,3.8,-2.7,675.15,377.73,-297.42,0.73,0.7,-0.03,11,6,-5
97,C,4,3,4,15,17.5,2.5,9.5,13,3.5,6.3,10,3.7,742.51,1826.54,1084.03,0.73,0.73,0,22,54,32
100,C,4,3,4,12.5,21,8.5,10.7,14,3.3,8.9,17.5,8.6,940.58,4209.24,3268.66,0.67,0.73,0.06,24,40,16
95,D,4,3,4,18,15,-3,11.5,27.5,16,9.4,16,6.6,1606.21,5674.5,4068.29,1.03,0.77,-0.26,39,58,19
93,C,4,3,2,14,19,5,8.5,11,2.5,8.5,8.5,0,844.92,1502.07,657.15,0.93,0.8,-0.13,12,10,-2
265,B,3,1,2,3.8,7.6,3.8,3.1,4.7,1.6,0,6.3,6.3,11.78,187.15,175.37,0,0.63,0.63,0,6,6
76,D,4,4,4,40,49,9,49,47,-2,21,20,-1,32660.98,36191.15,3530.17,1.1,0.87,-0.23,250,250,0
279,B,3,1,3,5.6,11.9,6.3,2.3,8.7,6.4,0,5.3,5.3,12.88,441.61,428.73,0,0.83,0.83,0,14,14
55,D,4,3,4,15.2,21,5.8,22,29,7,13.5,19,5.5,3668.17,9326.6,5658.43,0.67,0.97,0.3,13,62,49
104,D,3,2,2,20,14,-6,13.6,10,-3.6,15,6,-9,3325.06,678.58,-2646.48,1.23,1.25,0.02,10,3,-7
16,D,4,4,4,26,30,4,35,37.5,2.5,15.2,15,-0.2,11105.37,13419.26,2313.89,0.97,0.93,-0.04,170,181,11
17,B,2,2,2,5.6,7.6,2,3.5,3.6,0.1,1.9,2.5,0.6,30.89,61.58,30.69,0.9,1,0.1,1,1,0
37,C,2,3,2,5.2,5.2,0,4.1,3.2,-0.9,7.4,2.4,-5,125.67,33.25,-92.42,0.5,0.6,0.1,11,1,-10
26,C,1,2,2,11.8,0,-11.8,6.5,0,-6.5,6,7.4,1.4,394.53,7.4,-387.13,0.95,0.9,-0.05,2,1,-1
234,A,2,1,2,3.2,6.3,3.1,2.6,4.4,1.8,0,2.8,2.8,8.32,62.94,54.62,0,0.57,0.57,0,7,7
15,C,4,2,2,21,20.5,-0.5,4.2,7,2.8,1.5,11,9.5,187.03,1633.38,1446.35,1.27,0.93,-0.34,8,6,-2
35,D,4,4,4,29.4,29,-0.4,17,22,5,13,19,6,5495.53,9703.4,4207.87,1.07,0.87,-0.2,52,57,5
48,C,1,3,1,15.5,7,-8.5,6.3,2.6,-3.7,5.6,0,-5.6,522.55,18.2,-504.35,0.83,0,-0.83,27,0,-27
43,C,1,3,2,10.2,3,-7.2,7.7,2.3,-5.4,4.8,2.1,-2.7,301.98,11.58,-290.4,0.37,0.75,0.38,18,2,-16
